source_id,distance_gspphot,teff_gspphot,mh_gspphot,logg_gspphot,phot_g_mean_mag
4206484102060221568,1089.4807,4305.0044,-2.2492,4.6612,18.35059
4206484102060222336,,,,,20.364916
4206484102060224000,1480.7319,4746.732,-2.7195,4.9182,18.565117
4206484102060224896,1792.02,4550.88,-1.3907,4.3762,17.587769
4206484102061590656,,,,,19.114344
4206484102061591424,,,,,19.429878
4206484132117600256,,,,,19.93571
4206484132117604480,,,,,19.004833
4206484132117607936,846.077,4202.8164,-1.4513,4.9221,18.242224
4206484132124926976,880.0558,4434.261,-1.4949,4.876,17.709053
4206484132124927488,,,,,20.109657
4206484132124930560,,,,,19.620502
4206484132124932480,,,,,19.209705
4206484136415172864,,,,,20.292662
4206664726902046848,1489.758,4541.9146,-1.8399,4.9274,18.845572
4206664726902056448,,,,,20.02844
4206664726902062464,1103.4054,4351.947,-1.7931,4.7799,18.283833
4206664726902083584,838.2972,3720.4646,-1.3373,4.4948,18.499037
4206664731196613888,,,,,20.479383
4206664731196632064,,,,,19.48108
4206664731196633088,,,,,20.063189
4206664731196643584,,,,,20.127108
4206664731196646144,,,,,20.137218
4206664731196652032,,,,,19.562029
4206664731196688640,,,,,20.312407
3127143766705730048,587.2073,3897.9138,-1.2591,4.6301,18.46126
3127143766705996928,608.2047,3254.3127,0.0663,4.5664,18.79732
3127143771000257664,,,,,20.452906
3127143771000261376,,,,,20.486877
3127143801065476992,3250.943,9204.253,-0.6751,3.5198,14.677838
3127143801065481216,560.0904,3772.0312,-0.806,4.9078,18.41008
3127143801065741184,,,,,19.24534
3127143801065742592,,,,,19.660213
3127143805364241024,726.1005,5173.7754,-3.2249,4.769,17.032724
3127143835425198208,,,,,17.958069
3127143835425472000,,,,,19.037695
3127143835425473792,,,,,19.481302
3127143839719764608,,,,,20.31996
3127143839723996672,,,,,14.782587
5650115858272528768,,,,,19.58359
5650115862567305344,,,,,19.805828
5650115862568224256,,,,,20.686611
5650115892632272128,1234.9146,5599.6987,-0.4016,4.5799,16.151785
5650115892632276864,1348.4753,4724.496,-0.7654,4.696,17.539364
5650115896925265536,,,,,20.601576
5650115926991988480,444.5097,4865.424,-0.0345,4.5544,14.579822
5650115931285000960,,,,,20.398815
5650115931285948800,,,,,20.604671
5650115931286770816,2620.7441,5591.911,-0.871,3.7572,15.491134
5650115961351745152,844.9329,4126.8457,0.2619,4.5372,17.466724
5650115961351745280,3005.82,5839.1455,-1.1614,4.6816,17.944435
5650115961351748736,1610.6881,5250.7695,-1.1304,4.6974,17.332073
4206338141907520768,,,,,20.162952
4206338141907522560,,,,,20.077404
4206338141907523328,,,,,20.026487
4206338141909745408,,,,,20.52216
4206338141915005952,466.2375,3588.022,-1.2005,4.6534,18.359928
4206338141915008512,,,,,18.75028
4206338141915009920,1305.3385,4663.9395,-1.393,4.3563,17.546093
4206338171946256768,1912.3057,5076.2837,0.0789,3.6256,16.13073
4206338171946614912,838.311,3888.435,-0.6103,4.8086,18.187187
5388442639299608320,,,,,20.49031
5388442643595910400,,,,,18.389868
5388442643596604544,,,,,20.768187
5388442643598651392,1291.9576,5033.601,-0.5425,4.6352,17.437895
5388442643598651520,1554.9133,4740.5156,-1.7124,4.8695,18.470999
5388442643598651776,1852.1234,4739.017,-1.4107,4.8345,18.656763
5388442643598651904,,,,,16.82801
5388442643598753280,3451.673,5343.6064,-0.1289,3.7566,16.241005
5388442673663695232,,,,,20.891516
5388442677955869696,,,,,20.444132
5388442677958388224,1926.552,4629.5806,-1.2722,4.8207,18.839998
5388442677958491392,,,,,20.026958
5388442708023412096,1607.185,5033.46,-2.0495,4.7952,18.018509
5388442712318129664,,,,,19.40302
2805882515067075456,1844.8585,3773.7048,-0.1128,4.3548,18.74914
2805882515067076224,,,,,20.607548
2805882515067076736,,,,,20.360191
2805882549426813568,,,,,20.420755
2805882549426814464,367.8209,3270.767,-1.1186,4.6095,18.92305
2805882553721820032,,,,,20.857603
2805882588081410944,2721.1902,5608.873,-1.2687,4.7239,18.092196
2805882652506189184,,,,,19.087805
2805882656800601344,,,,,20.494568
2805882656800887808,1637.799,4673.01,-0.3123,4.6838,17.87297
2805882656800888704,491.4304,4329.402,-0.3051,1.8181,8.161269
2805882725520364288,1909.2689,5222.9087,-0.1608,3.6238,14.574181
5653013002690178560,,,,,20.175861
5653013002690178688,,,,,19.046112
5653013037049929856,1213.2059,4107.1733,-0.2971,4.6895,18.529964
5653013037049932032,2166.6296,4877.584,-1.3972,4.8042,18.731434
5653013041345633920,,,,,20.354536
5653013041346260864,,,,,20.78403
5653013071409656576,1783.6421,5006.1035,-0.9853,4.752,17.928642
5653013071409660800,,,,,19.349213
5653013071409668992,,,,,20.715204
5653013071409673088,,,,,19.593775
5653013105769404928,,,,,19.995235
5653013105769409792,,,,,20.714857
5653013105769420032,1457.0304,5327.306,-0.9702,4.6617,16.979425
1827861944311980288,,,,,20.780027
1827861944311981184,,,,,20.353365
1827861944311982336,,,,,20.69813
1827861944311982720,,,,,20.063932
1827861944311985536,,,,,20.604967
1827861944311990528,,,,,20.49377
1827861944311990656,,,,,20.330116
1827861944312405760,,,,,20.96537
1827861944312406272,,,,,20.661602
1827861944312408832,,,,,
1827861944312409088,,,,,19.286135
1827861944312412160,,,,,19.173796
4206275504086677376,,,,,19.319584
4206275504086682752,,,,,20.240398
4206275504086686976,,,,,20.43047
4206275504086690688,,,,,20.16383
4206275504086701184,,,,,20.486849
4206275504086701952,,,,,20.303736
4206275504086703104,611.7146,3858.23,-1.3359,5.0358,18.762403
4206275504086710272,,,,,17.779482
4206275504086718080,,,,,19.55425
4206275504086731392,,,,,20.42704
4206275504086732544,,,,,19.254435
4206275504086732928,,,,,20.293234
4206275504086734976,,,,,19.189615
4206275504086736128,,,,,20.468502
2812519927461811840,,,,,19.712006
2812519957525554048,,,,,20.014084
2812519961821263232,485.4967,3696.1453,-0.4273,4.6562,17.379654
2812519991885296640,,,,,20.334124
2812520060604732032,,,,,12.790712
2812520064900478080,758.2501,5776.184,-0.6946,4.1513,13.333819
2812520129324254336,1411.6232,4957.38,-2.0416,4.8372,17.867908
2812520163683990656,,,,,20.64973
2812520198043733632,,,,,20.558172
2812520266763208192,,,,,19.03339
2812520339778384384,1406.0414,6046.0166,0.182,4.1652,14.640442
2812520369842376448,261.8741,5328.997,-0.5762,4.4254,12.300254
2812520404202171136,398.984,3691.5784,-0.5512,4.8604,17.579475
4206830723099451008,,,,,20.28585
4206830723099451776,962.9859,4667.628,-1.2424,4.7973,17.357244
4206830723099452032,1332.5021,4432.657,-2.5746,4.7807,18.651098
4206830723099455872,,,,,19.86875
4206830723099457024,1564.6844,5383.282,0.0303,3.8842,15.715319
4206830723099457920,3639.453,5018.982,-0.1211,2.9141,14.886794
4206830753159833344,,,,,19.098131
4206830753167231616,,,,,19.80983
4206830753167233792,,,,,20.489883
4206830753167235712,,,,,18.275928
4206830753173318656,,,,,20.069723
2818703168539646464,,,,,13.697036
2818703232963388928,,,,,20.359411
2818703237259123712,2415.7188,5699.3276,-0.4768,3.963,15.77107
2818703340337549824,,,,,20.287268
2818703340338337920,,,,,19.655434
2818703370402342272,4892.8843,5900.8433,-1.1771,4.694,18.944235
2818703404762081792,429.1922,3390.756,-0.5767,4.6942,18.727924
2818703443417552128,,,,,19.837982
2818703507841299712,,,,,19.82718
2818703512137028352,614.2166,4428.8433,0.4885,4.6422,16.361092
2818703546495975680,,,,,20.525135
2818703576562098432,,,,,18.35481
2802349479264211584,870.1737,4498.4395,0.1576,4.4686,16.138578
2802349543690713088,,,,,20.345972
2802349651062902656,,,,,19.699696
2802349681127186048,,,,,19.669931
2802349685422640384,1397.3407,5273.513,-0.2442,4.4205,15.878934
2802349719782675200,,,,,20.087606
2802349784206398720,,,,,20.241701
2802349818566136320,572.4033,3521.9097,-1.4355,4.6065,18.94135
2802349818566140928,1101.8745,4749.988,-0.239,4.6396,16.86938
2802349822861592320,,,,,17.341314
2802349822861592448,1472.3577,5575.114,-0.9316,4.5913,16.444752
2802349822861593088,169.0467,3649.2822,-0.7054,4.3393,14.231209
2802349921645360384,,,,,20.197525
5652491735398511744,1181.897,5647.16,-0.4324,4.5,15.748179
5652491765459007104,1397.9951,4251.239,-0.808,4.7912,18.652128
5652491765459017216,654.9155,3572.7026,-1.1468,4.415,18.310986
5652491765459019520,1613.5378,5060.8354,-1.0138,4.7189,17.565035
5652491799818769920,585.3441,3918.0505,-0.5634,4.7906,18.28334
5652491799818771840,,,,,20.613447
5652491799818774784,2711.4065,5518.488,-1.7352,4.7524,18.308098
5652491804114095488,,,,,20.757936
5652491804114099712,,,,,20.04819
5652491804114103808,,,,,20.774565
5652491804114110080,,,,,19.78947
5652491804116545536,1384.7648,5643.602,-0.5447,4.5347,16.2001
5652491838473821824,,,,,19.2534
1827720004227923200,,,,,20.507671
1827720004227924224,,,,,20.15516
1827720004227929216,,,,,20.396214
1827720004227929344,,,,,20.285645
1827720004227929600,,,,,20.305521
1827720004227931392,,,,,18.424618
1827720004227932416,,,,,20.179146
1827720004228155392,,,,,19.935282
1827720004228156160,,,,,20.306667
1827720004228156800,,,,,20.495535
1827720004228157440,,,,,20.233727
1827720004228159872,,,,,20.808947
1827720004228161152,,,,,
1827720004228162944,,,,,20.579357
3128157722587654144,578.2117,3559.2283,-1.6505,4.5327,18.928268
3128157726879230464,,,,,19.857775
3128157726879250432,,,,,20.507235
3128157726883298048,,,,,20.140427
3128157726883301760,319.1539,3461.9,-0.1627,4.8575,17.844883
3128157756946426240,1600.6244,5094.931,-0.0175,3.3981,15.307449
3128157756947622528,362.3789,3394.744,-1.1404,4.608,18.389013
3128157761238965888,,,,,20.631016
3128157761243030400,770.1029,5109.628,-1.4868,4.7639,17.476906
3128157791306158464,977.7497,4812.058,-2.2806,4.883,18.26859
3128157791306740352,704.7469,3567.5364,-1.1589,4.4226,18.873766
3128157791306741248,,,,,19.471043
3127462423214154752,,,,,19.930227
3127462423214166400,,,,,20.0669
3127462423214169216,,,,,20.162502
3127462423219658240,1004.7489,5391.611,-1.0309,4.667,16.707811
3127462423219659520,1143.1259,5746.0938,-1.1504,4.5944,16.538988
3127462423219660672,3700.0574,11181.046,-1.4216,4.0662,15.11654
3127462453281039232,1087.6115,5111.5947,-1.1968,4.5955,16.91898
3127462453281049344,1324.4164,4914.3286,-2.0475,4.3791,16.858053
3127462453281053184,1091.6821,5404.7393,-2.627,4.7359,17.258596
3127462453281056896,972.0968,4908.13,-2.4717,4.5492,17.207733
3127462457573828736,,,,,19.898104
3127462457573842432,,,,,20.119959
3127462457573842688,,,,,18.987833
3127792822165998208,874.0695,5251.519,-3.4698,4.7594,17.3033
3127792822165998336,,,,,17.890081
3127792822166756480,876.0703,5453.7866,-2.3852,4.5288,16.286108
3127792826460414592,,,,,17.684767
3127792826461001856,,,,,19.678877
3127792826463146752,557.2617,4084.2122,-0.3897,4.7197,16.68053
3127792826463147392,786.3835,5064.237,-0.3971,4.4711,15.2720995
3127792826463388672,,,,,19.345432
3127792856525705984,,,,,20.169043
3127792856525715712,,,,,19.363699
3127792856525736448,919.4092,5569.115,-2.7928,4.6771,16.711615
1827972239080284672,,,,,20.229856
1827972239080285184,,,,,19.838867
1827972239080285440,,,,,20.509754
1827972239080286848,,,,,20.473091
1827972239081144448,,,,,19.253017
1827972239081160832,,,,,19.80927
1827972239081162752,,,,,
1827972239081166208,,,,,19.866985
1827972239081186816,,,,,20.744257
1827972239081198592,,,,,20.712257
1827972239081199616,,,,,19.511713
1827798997258419328,,,,,20.604382
1827798997258423168,,,,,20.232037
1827798997263761280,,,,,20.73946
1827798997281848192,,,,,19.62055
1827798997281849216,,,,,20.179089
1827798997281850112,,,,,20.21161
1827798997281851008,,,,,20.522377
1827798997281852160,1192.3005,4771.594,-1.3702,4.3454,16.99522
1827798997289928960,,,,,20.599453
1827799027320405504,1029.9913,4844.435,0.532,3.8153,18.130611
1827799027320740096,,,,,19.397621
1827799027322933248,,,,,19.125927
1827799027322933632,,,,,19.231205
2809123016351763840,300.226,3596.5593,-0.4743,4.8612,17.3543
2809123050711504768,,,,,19.79845
2809123158085790336,,,,,20.643373
2809123256869939584,459.9248,3527.8386,-0.1713,4.7031,17.86122
2809123256869940864,2801.2427,5289.2305,-1.4271,4.7307,18.608942
2809123291229615616,390.2815,5681.278,-0.0495,4.2143,12.019263
2809123291230326272,380.912,5030.195,-0.5544,4.3015,13.0269
2809123329884922112,351.7379,4829.1353,-0.1682,4.3188,13.030912
2809123359949153536,,,,,19.578897
2809123394308899072,1691.7599,4584.9995,-1.4768,4.868,18.867983
2809123467323875328,364.5382,3637.9668,-0.7703,4.2169,15.764794
2809123497388112640,1503.346,4986.747,-1.6824,4.7271,17.664005
3128524512793597184,,,,,20.154976
3128524512793602304,,,,,20.407515
3128524512794861056,1111.1057,4601.42,-2.6137,4.9659,18.327732
3128524512794880512,1197.271,5537.802,-1.7801,4.6795,16.722385
3128524512795027072,,,,,18.431728
3128524517090480384,542.3074,3575.8696,-1.6831,4.5526,18.860584
3128524547154523264,1428.3739,4569.676,-2.375,4.9369,18.777552
3128524547154536960,,,,,19.203873
3128524547154540160,,,,,19.832169
3128524547154543872,1093.7252,4576.0522,-2.861,4.9763,18.387989
3128524547154549632,1249.3873,5149.353,-2.6057,4.794,17.429478
3128524547154765568,,,,,19.106953
3128524551447728384,,,,,20.28646
3128524551448669184,1483.9496,4621.622,-2.6863,4.9705,18.924372
5652491838473822720,1909.1128,5007.7036,-1.2514,4.7843,18.250603
5652491838473824768,,,,,20.142138
5652491838473826176,550.9537,3510.7249,-1.2439,4.6144,18.924381
5652491838473828352,,,,,19.965912
5652491838476273792,1498.4426,5216.636,-1.4342,4.7317,17.355146
5652491838476274560,7006.101,4487.0273,-0.0419,2.0247,13.836689
5652491838476277120,857.8392,5749.565,-0.4709,4.452,14.867243
5652491838476278784,1618.6855,4746.3906,-0.6681,4.6928,17.91286
5652491868539306624,,,,,19.686317
5652491902898019584,,,,,19.091726
5652491902899042944,,,,,19.298336
5652491902899044096,,,,,19.619936
5651989670898871552,230.9501,5050.0615,-2.4879,4.7718,15.6861925
5651989735323178624,1709.0995,5165.772,-0.9419,4.6343,17.382149
5651989735323574272,,,,,19.850433
5651989735323574400,,,,,20.099173
5651989739618175616,687.0226,4901.754,0.3135,4.5676,15.349635
5651989739618175744,831.5032,4704.4897,-0.5225,4.4512,15.6744175
5651989739618177152,1894.4285,7508.9814,-0.2922,4.2199,14.426568
5651989739619033600,,,,,20.514065
5651989769682901888,2194.1467,4182.745,-0.0737,4.5063,18.815142
5651989773977920896,215.4754,3211.5652,-0.1646,4.9916,18.46182
5651989804042646528,,,,,19.03129
5651989804042649600,,,,,19.118284
5651989804042658432,1100.7385,4082.7888,-0.519,4.7643,18.24617
5651989808336174464,,,,,20.301552
5388994426638219776,,,,,18.802223
5388994456699106816,,,,,19.288874
5388994456699111808,,,,,19.484613
5388994456699119232,3132.383,5369.74,-1.3819,4.7505,18.768755
5388994456699130112,730.1465,3855.5452,-0.633,4.8274,18.389067
5388994456700276608,,,,,20.836805
5388994460996798464,2234.844,5836.4795,-0.5699,4.1938,15.724314
5388994460996798720,2702.3477,5575.7534,-0.7522,4.4948,17.39093
5388994460996799360,,,,,19.194788
5388994460996799872,,,,,19.83434
5388994460996800128,4094.5234,5667.3657,0.0503,3.6604,15.76929
5388994460997003520,,,,,20.236847
5388994491058844288,,,,,19.89148
5388994491058851584,,,,,19.599255
4206211113961931904,,,,,19.575407
4206211113961940608,,,,,19.738506
4206211113961942912,782.8923,4004.7073,-1.3638,4.9878,18.774921
4206211113961946112,,,,,19.64453
4206211113961956480,,,,,19.870996
4206211113961963136,844.7288,4442.8555,-2.1955,4.6704,17.433392
4206211113961965696,,,,,18.98794
4206211113961971584,,,,,19.01276
4206211113961980288,,,,,20.328653
4206211113961980544,,,,,19.836285
4206211113961984128,,,,,20.247372
4206211113961987456,,,,,19.29432
2805882789944984960,611.1299,3532.3774,-1.2733,4.6043,18.870552
2805882789944985088,,,,,19.64275
2805882897319057536,409.6812,3653.1648,-0.3317,4.5295,16.650534
2805882927383255680,448.9314,3357.1975,-1.1956,4.6156,18.990213
2805882927383255936,,,,,19.350798
2805882927383256064,3488.918,6073.322,-2.126,4.6917,18.168789
2805883064822894336,,,,,20.368053
2805883133542371328,405.3401,3433.14,-0.1771,4.8843,18.469412
2805883133542371712,,,,,20.047117
2805883133542371968,1573.2029,4194.3594,-0.2126,4.6975,18.644197
2805883343995566592,1172.2108,5317.927,0.1599,4.1727,14.306098
2805883374059847936,765.9057,3809.2764,-1.4215,4.7647,18.834654
5651021963227849472,,,,,15.1923485
5651021963227849600,640.4875,4645.222,-0.7608,4.259,14.845964
5651021993291164544,1344.3118,5474.202,-1.3583,4.6904,16.910809
5651021993291166976,1888.9246,4598.67,-1.2841,4.6492,18.426928
5651021993291172992,2444.7966,5274.454,-2.4928,4.7864,18.512463
5651021993291175552,,,,,20.096764
5651021993291179264,530.5854,3542.849,-1.0493,4.661,18.767906
5651021997585502592,790.6534,4198.6743,-1.1767,4.8548,17.866352
5651021997586719616,,,,,20.75254
5651021997587588736,1378.2235,4400.263,-1.1449,4.396,17.197582
5651021997587588864,1601.9817,6038.666,-0.5395,3.9014,14.488852
5651021997588738048,,,,,20.265919
5651022027650926720,,,,,20.366842
5387901718235683840,,,,,20.571886
5387901748298908032,,,,,20.057468
5387901748298919040,1351.9338,4637.4507,-1.5093,4.8475,18.262917
5387901748298920064,1802.4607,4938.748,-1.9449,4.8372,18.41716
5387901748298925696,,,,,20.093206
5387901752595418368,,,,,20.761604
5387901752597502336,915.6083,3693.3948,-0.2174,4.288,17.813848
5387901752598739072,,,,,20.289026
5387901782658644736,,,,,19.974173
5387901782658654976,1889.0541,4630.7905,-1.315,4.7483,18.667011
5387901782658661632,,,,,19.593048
